scorer,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90
bodyparts,point_1,point_1,point_1,point_2,point_2,point_2,point_3,point_3,point_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
88,787.0656,575.2437,0.94799674,808.9224,549.7958,0.99630916,759.78406,467.89066,0.91290116
89,787.1616,575.39343,0.9027925,809.0818,550.0761,0.97493124,762.5805,467.73242,0.8980371
90,787.2849,575.9325,0.9019993,808.71814,549.97125,0.990248,763.9188,468.2862,0.9237143
91,787.1878,576.25366,0.89474064,808.72314,550.26965,0.98421204,764.956,469.286,0.85005605
92,787.0028,576.85535,0.85262483,808.6353,549.8481,0.9898483,765.18524,469.3229,0.8393681
93,786.9146,576.72437,0.87991685,809.15564,550.37317,0.96645826,764.5615,469.2364,0.9124305
94,787.03876,577.09344,0.880501,809.02167,550.21594,0.9670109,763.8153,469.31006,0.91526526
95,786.9625,577.11725,0.8505277,809.3939,550.2707,0.9436475,763.09686,469.2738,0.85990024
96,786.99756,576.80664,0.8527143,809.1387,550.12933,0.9433095,761.87897,468.8934,0.8662467
97,787.14545,575.93695,0.8811282,808.91876,550.35205,0.9460251,758.2867,468.3763,0.86134267
98,786.9692,575.89813,0.8799073,809.19714,550.4779,0.94291645,759.5978,468.15778,0.86387986
99,787.1589,575.98566,0.88516253,809.1286,550.1615,0.95908,761.2613,468.3979,0.8477112
100,787.152,575.8561,0.8943215,809.12103,550.31213,0.9600249,760.9045,468.01416,0.85664654
101,787.311,576.0266,0.86580515,809.27216,550.417,0.9382919,758.1788,468.37503,0.8514895
102,787.19525,576.85236,0.86788076,809.11145,550.3322,0.9533511,755.7212,469.18634,0.7728405
103,787.08984,576.6867,0.8331132,808.9542,549.9436,0.96303153,755.4594,468.38696,0.7493486
104,787.0716,576.62524,0.85357565,808.958,550.28815,0.9724367,754.80743,468.56546,0.8049147
105,786.9153,575.36743,0.8601098,809.03125,550.4169,0.96216744,754.75146,467.57986,0.8169234
106,787.1082,575.81036,0.85831434,809.0816,550.36975,0.95852375,751.53516,468.16492,0.79537255
107,787.2646,576.0226,0.8708713,808.8596,550.15015,0.99927396,749.40155,469.0279,0.8514143
108,786.9365,575.4187,0.85712355,808.9317,550.15576,0.9437209,748.9019,470.65778,0.81614995
109,787.3241,575.63586,0.9183318,809.0582,550.40466,0.9510502,748.8111,470.66574,0.76172155
110,787.1145,576.6776,0.8637607,808.9607,550.3284,0.96184164,748.0883,471.5085,0.63433135
111,787.06555,575.7076,0.8761377,808.57404,550.2073,0.978848,747.10114,472.8584,0.74866605
112,787.2683,575.43396,0.86082476,808.86743,550.7458,0.94012254,746.74713,473.42767,0.83603245
113,787.27496,575.4285,0.8778253,808.6263,550.266,0.97129136,745.25244,473.71658,0.7075674
114,787.0727,575.86725,0.89996856,809.0102,551.0812,0.945769,743.74896,475.7226,0.60367656
115,787.4503,575.5288,0.9360459,809.1937,551.2627,0.9674499,742.02576,477.24155,0.72723055
116,787.39557,575.8939,0.91328865,809.69116,551.16064,0.95679164,740.4855,478.98642,0.787688
117,787.3765,576.24054,0.89272815,809.40283,551.1332,0.95855504,739.8215,479.81564,0.7878388
118,787.5733,576.1865,0.9182821,809.5477,551.08405,0.9494783,739.6607,480.10995,0.77677727
119,787.47485,576.2138,0.91381174,809.4855,551.097,0.9506327,738.0505,482.48297,0.77934587
120,786.94025,576.6609,0.8927633,809.18726,551.02435,0.96614295,738.4737,483.34024,0.7243724
121,786.9292,576.0758,0.89128786,809.03503,550.7772,0.9756393,738.5968,482.7731,0.74051857
122,786.47504,576.081,0.8518376,808.7891,550.6969,0.97593266,739.007,480.05264,0.81494755
123,787.0216,576.0322,0.8876056,808.8664,550.59985,0.96977973,741.08386,477.35828,0.78215194
124,787.06744,577.35394,0.87324405,808.8629,550.7176,0.96632034,741.51227,477.97742,0.7661834
125,787.23315,577.4414,0.86602044,809.0492,550.74817,0.96674407,741.85,478.82605,0.78279483
126,787.3429,577.42194,0.8777795,808.83875,550.6544,0.9621884,741.2549,480.13904,0.7140844
127,787.1966,576.9553,0.85668755,808.86163,550.83777,0.9666975,739.66437,480.39258,0.7275991
128,787.07733,576.8503,0.8767345,808.8602,550.73364,0.97581524,739.1237,480.26028,0.7406175
129,787.41376,575.958,0.87672704,808.98627,550.49713,0.9687217,739.0698,480.29984,0.745746
130,787.3608,576.0165,0.8883247,809.11725,551.03357,0.95525366,739.4277,480.28668,0.69921315
131,787.1623,575.5141,0.9027732,809.1066,550.7002,0.9550504,739.7798,479.6046,0.7526157
132,787.31415,575.65295,0.8585301,809.1278,551.13654,0.9775966,738.9365,477.2637,0.7716788
133,787.21814,575.6283,0.8868893,809.0784,550.8203,0.9784861,740.70166,475.24796,0.8444048
134,787.2268,575.7259,0.871949,809.0402,550.67737,0.9817725,742.3726,474.0104,0.85530055
135,787.0649,575.2647,0.9154974,808.82587,550.73425,0.99331456,743.9454,472.30984,0.83408797
136,786.8739,575.3886,0.8909004,808.75977,550.63477,0.97534394,745.76324,470.88727,0.81228733
137,786.6372,575.3099,0.8828475,808.77386,550.8138,0.96542376,746.31384,469.33084,0.8251339
138,786.338,575.22906,0.8562701,808.9099,551.02704,0.9455516,746.6,468.07547,0.8813256
139,786.7593,575.3784,0.8834657,808.7748,550.9808,0.9430894,746.82434,467.69662,0.8937558
140,786.75903,576.667,0.8894473,808.87067,550.93994,0.94135165,747.27106,467.5931,0.9112303
141,786.87256,575.78503,0.8738486,808.6235,550.5547,0.95136553,747.8645,467.79727,0.91036713
142,786.8838,576.66156,0.86316437,808.7197,550.47833,0.93149644,748.2475,467.94934,0.8981559
143,786.87115,576.70386,0.8568681,808.82556,550.27716,0.9570238,748.35583,468.2036,0.8799672
144,787.11426,575.29504,0.8741342,809.02734,550.36005,0.9356449,749.1451,469.24207,0.8615788
145,786.53534,575.5454,0.8704502,808.58484,550.53235,0.9758161,748.94806,469.0479,0.8516592
146,786.976,576.6555,0.8652573,808.7341,550.5484,0.9610026,748.67926,470.04507,0.8407835
147,786.98444,576.75653,0.89419484,809.0977,550.631,0.94465804,749.12964,470.69708,0.8497758
148,787.11255,575.8066,0.9180606,809.1748,550.6942,0.947038,750.0306,471.5332,0.8377454
149,787.2562,576.97046,0.89937735,809.3494,551.1114,0.93802935,749.82214,472.49863,0.84038764
150,787.1302,577.2012,0.86938494,809.1958,550.40796,0.9253318,749.0973,471.9187,0.8085719
151,787.339,577.1529,0.8916033,808.6037,550.41345,0.9731853,748.5526,471.63477,0.682089
152,787.0848,576.93384,0.88294667,808.5983,550.49396,0.95885515,746.3956,472.95767,0.813952
153,786.97076,577.026,0.87860346,808.6121,550.7488,0.9504722,744.1274,474.66394,0.84386784
154,786.9099,576.8102,0.88843024,809.0824,550.82117,0.9352684,743.87085,474.34723,0.78769445
155,787.2806,576.0838,0.88282025,808.8846,550.8543,0.95188445,745.02057,473.69302,0.8078533
156,787.07855,575.77924,0.87572294,809.10815,550.80304,0.95850533,746.7776,472.1306,0.8174752
